DATE,INDEX,Turnover
14/01/2024,1857.57,229453.48
11/01/2024,1862.01,675642.03
10/01/2024,1857.74,789765.24
09/01/2024,1862.22,830832.06
08/01/2024,1870.77,801795.9
07/01/2024,1867.85,248511.26
04/01/2024,1876.36,679557.38
03/01/2024,1866.96,881096.02
02/01/2024,1885.04,1016015.38
01/01/2024,1895.16,641578.08
31/12/2023,1865.31,408478.67
28/12/2023,1853.73,1766037.25
27/12/2023,1858.34,702099.22
26/12/2023,1838.83,798357.08
25/12/2023,1867,361885.65
24/12/2023,1847.8,267665.11
21/12/2023,1850.89,732427.77
20/12/2023,1865.78,1205330.21
19/12/2023,1840.23,745693.54
18/12/2023,1829.91,960446.53
17/12/2023,1818.13,315667.19
14/12/2023,1822.7,1665717.71
13/12/2023,1784.52,629123.2
12/12/2023,1783.15,649482.35
11/12/2023,1792.92,642049.64
10/12/2023,1805.3,321447.17
07/12/2023,1801.94,802076.65
06/12/2023,1810.56,903152.69
05/12/2023,1807,824524.54
04/12/2023,1789.85,821462.07
03/12/2023,1791.06,360691.48
30/11/2023,1774.13,1864577.06
29/11/2023,1805.06,1261076.14
28/11/2023,1790.29,982396.95
27/11/2023,1783.64,736999.96
26/11/2023,1801.28,354256.14
23/11/2023,1797.16,1531392.64
22/11/2023,1792.44,1127642.29
21/11/2023,1749.09,890075.03
20/11/2023,1735.48,722619.91
19/11/2023,1711.61,330156.61
16/11/2023,1721.96,1002616.51
15/11/2023,1705.08,1010251.62
14/11/2023,1701.48,1099448.85
13/11/2023,1669.12,825314.78
12/11/2023,1675.39,391316.94
09/11/2023,1704.43,789790.17
08/11/2023,1714.95,977623.99
07/11/2023,1728.11,917641.73
06/11/2023,1702.56,967643.64
05/11/2023,1724.26,550081.93
02/11/2023,1686.36,3394304.87
01/11/2023,1654.01,692269.52
31/10/2023,1646.85,1315776.53
30/10/2023,1653.01,891908.33
29/10/2023,1626.61,428840.18
26/10/2023,1605.2,1955484.72
25/10/2023,1617.02,847097.57
24/10/2023,1621.43,1145908.95
23/10/2023,1614.96,1132727.02
22/10/2023,1632.2,496535.85
19/10/2023,1669.43,1121722.37
18/10/2023,1700.87,812924.89
17/10/2023,1689.6,1207056.24
16/10/2023,1692.5,1134328.53
15/10/2023,1651.91,795479.99
12/10/2023,1713.3,1222783.36
11/10/2023,1725.84,1239504.4
10/10/2023,1749.27,1325045.55
09/10/2023,1728.49,2062804.26
08/10/2023,1712.16,1195230.85
05/10/2023,1830.65,705507.94
04/10/2023,1839.74,534973.24
03/10/2023,1858.13,545909.78
02/10/2023,1872.53,528598.06
01/10/2023,1871.91,447462.96
28/09/2023,1844.61,1637263.88
27/09/2023,1844.14,707494.49
26/09/2023,1834.8,841166.72
21/09/2023,1860.38,991205.53
20/09/2023,1857.23,523510.02
19/09/2023,1839.03,719836.44
18/09/2023,1843,680514.23
14/09/2023,1844.66,1364551.19
13/09/2023,1833.83,598329.27
12/09/2023,1848.91,720870.02
11/09/2023,1845.13,611179.16
10/09/2023,1828.11,222791.7
07/09/2023,1826.54,1765616.68
06/09/2023,1839.8,734491.39
05/09/2023,1846.14,1073788.39
04/09/2023,1832.08,558493.92
03/09/2023,1847.71,195938.75
31/08/2023,1846.54,1887610.7
30/08/2023,1845.76,527808.05
29/08/2023,1835.37,690208.79
28/08/2023,1846.28,471138.05
27/08/2023,1843.38,282153.73
24/08/2023,1839.56,1806079.53
23/08/2023,1848.08,655314.07
22/08/2023,1853.86,901986.12
21/08/2023,1842.53,722955.19
20/08/2023,1834.08,194662.11
17/08/2023,1828.67,881654.19
16/08/2023,1847.03,759839.37
15/08/2023,1853.54,869630.37
14/08/2023,1856.45,820965.98
13/08/2023,1868.84,220435.1
10/08/2023,1888.36,704743.25
09/08/2023,1887.3,899342.81
08/08/2023,1860.55,900847.55
07/08/2023,1872.41,677584.39
06/08/2023,1863.68,268865.08
03/08/2023,1851.01,2082259.03
02/08/2023,1862.35,937019.31
01/08/2023,1861.67,925045.2
31/07/2023,1871.26,948074.64
